trial,breakout_band_atr_mult,breakout_band_pct,breakout_buy_k,breakout_buy_floor,breakout_block_threshold,sharpe_ratio,sortino_ratio,max_drawdown,total_return,total_trades,avg_holding_period_hours,output_dir
35,0.6,0.001,0.9,0.2,0.8,5.20388900327027,11.968595219498878,-0.1846345619515039,0.5618744713975896,305.0,1.9020765027322404,run\results_lean_taogrid_breakout_risk_sweep\trial_035
48,0.6,0.003,0.6,0.7,0.85,5.203889003270265,11.968595219498617,-0.18463456195150427,0.5627840374111606,301.0,1.8119601328903658,run\results_lean_taogrid_breakout_risk_sweep\trial_048
23,2.0,0.0008,1.2,0.9,0.98,5.203889003270261,11.968595219498807,-0.1846345619515046,0.5670413833061687,308.0,1.9009199134199135,run\results_lean_taogrid_breakout_risk_sweep\trial_023
46,2.0,0.002,2.0,0.1,0.7,5.203889003270254,11.968595219498741,-0.1846345619515033,0.5538422583785292,295.0,1.8219774011299437,run\results_lean_taogrid_breakout_risk_sweep\trial_046
66,1.5,0.001,2.0,0.05,0.7,5.203889003270242,11.968595219498825,-0.1846345619515037,0.5537978646105866,296.0,1.8433558558558558,run\results_lean_taogrid_breakout_risk_sweep\trial_066
22,0.6,0.001,0.6,0.05,0.95,5.20388900327023,11.968595219498663,-0.18463456195150446,0.5626863339699071,305.0,1.8942076502732241,run\results_lean_taogrid_breakout_risk_sweep\trial_022
64,0.8,0.001,0.6,0.5,0.995,5.20388900327023,11.968595219498663,-0.18463456195150446,0.5626863339699071,305.0,1.8942076502732241,run\results_lean_taogrid_breakout_risk_sweep\trial_064
110,0.8,0.001,0.6,0.2,0.9,5.20388900327023,11.968595219498663,-0.18463456195150446,0.5626863339699071,305.0,1.8942076502732241,run\results_lean_taogrid_breakout_risk_sweep\trial_110
114,1.0,0.001,0.6,0.05,0.98,5.20388900327023,11.968595219498663,-0.18463456195150446,0.5626863339699071,305.0,1.8942076502732241,run\results_lean_taogrid_breakout_risk_sweep\trial_114
100,1.0,0.0008,0.9,0.7,0.95,5.203889003270226,11.968595219498653,-0.18463456195150435,0.562584575320048,305.0,1.8942076502732241,run\results_lean_taogrid_breakout_risk_sweep\trial_100
105,1.2,0.005,0.4,0.05,0.7,5.203889003270222,11.96859521949871,-0.18463456195150416,0.5638008327555564,300.0,1.8588333333333333,run\results_lean_taogrid_breakout_risk_sweep\trial_105
139,1.0,0.005,0.4,0.5,0.7,5.203889003270222,11.96859521949871,-0.18463456195150416,0.5638008327555564,300.0,1.8588333333333333,run\results_lean_taogrid_breakout_risk_sweep\trial_139
56,1.0,0.005,1.2,0.05,0.995,5.203889003270216,11.968595219498635,-0.18463456195150346,0.5551097645752994,298.0,1.84334451901566,run\results_lean_taogrid_breakout_risk_sweep\trial_056
1,1.0,0.003,2.0,0.1,0.9,5.203889003270204,11.968595219498743,-0.1846345619515041,0.5524563894943497,298.0,1.84334451901566,run\results_lean_taogrid_breakout_risk_sweep\trial_001
54,1.2,0.003,1.2,0.9,0.85,5.203889003270193,11.968595219498741,-0.1846345619515044,0.5657086724299321,302.0,1.8497240618101545,run\results_lean_taogrid_breakout_risk_sweep\trial_054
113,0.6,0.003,1.2,0.7,0.8,5.203889003270189,11.968595219498708,-0.18463456195150452,0.5595544341067388,299.0,1.841638795986622,run\results_lean_taogrid_breakout_risk_sweep\trial_113
89,3.0,0.001,0.4,0.35,0.9,5.203889003270184,11.968595219498685,-0.18463456195150385,0.5647527187373803,308.0,1.9009199134199135,run\results_lean_taogrid_breakout_risk_sweep\trial_089
115,1.5,0.005,1.2,0.2,0.98,5.2038890032701834,11.96859521949841,-0.18463456195150454,0.5556850098325871,298.0,1.8265659955257272,run\results_lean_taogrid_breakout_risk_sweep\trial_115
130,2.0,0.002,1.2,0.5,0.9,5.2038890032701595,11.968595219498502,-0.184634561951504,0.5566688714899507,297.0,1.8129629629629627,run\results_lean_taogrid_breakout_risk_sweep\trial_130
116,1.0,0.003,0.6,0.1,0.8,5.203889003270155,11.968595219498424,-0.1846345619515031,0.5621807310964283,300.0,1.8588333333333333,run\results_lean_taogrid_breakout_risk_sweep\trial_116
132,1.5,0.003,0.6,0.35,0.8,5.203889003270155,11.968595219498424,-0.1846345619515031,0.5621807310964283,300.0,1.8588333333333333,run\results_lean_taogrid_breakout_risk_sweep\trial_132
91,0.6,0.001,0.4,0.35,0.995,5.203889003270154,11.96859521949852,-0.184634561951504,0.5651836021311953,308.0,1.9009199134199135,run\results_lean_taogrid_breakout_risk_sweep\trial_091
