entry_timestamp,exit_timestamp,entry_price,exit_price,entry_level,exit_level,size,pnl,return_pct,holding_period
2025-09-11 12:33:00+00:00,2025-09-11 13:38:00+00:00,113720.20379035409,113902.15611641866,6,6,0.550040567643322,75.04085430229316,0.0011994401119776513,1.0833333333333333
2025-09-11 13:10:00+00:00,2025-09-11 13:38:00+00:00,113720.20379035409,113902.15611641866,6,6,0.08663185361548276,11.818997884010969,0.0011994401119775748,0.4666666666666667
2025-09-11 01:37:00+00:00,2025-09-11 13:39:00+00:00,113902.15611641866,114084.39956620493,5,5,0.5495740807927254,75.09717604229809,0.0011994401119774301,12.033333333333333
2025-09-11 09:10:00+00:00,2025-09-11 13:39:00+00:00,113902.15611641866,114084.39956620493,5,5,0.08669270263741491,11.846223064512742,0.0011994401119775457,4.483333333333333
2025-09-11 09:10:00+00:00,2025-09-11 13:47:00+00:00,113902.15611641866,114084.39956620493,5,5,0.5421782784353845,74.08656820796023,0.0011994401119775813,4.616666666666666
2025-09-11 12:58:00+00:00,2025-09-11 13:47:00+00:00,113902.15611641866,114084.39956620493,5,5,0.09435824858139052,12.893690318398512,0.0011994401119774841,0.8166666666666667
2025-09-11 07:00:00+00:00,2025-09-11 13:57:00+00:00,114266.93460551086,114449.76170087968,3,3,0.2761077921809687,37.84989324271737,0.0011994401119772974,6.95
2025-09-11 07:04:00+00:00,2025-09-11 14:03:00+00:00,114084.39956620493,114348.0,4,4,0.5457282469949324,118.92180004766851,0.001909729819627447,6.983333333333333
2025-09-11 12:17:00+00:00,2025-09-11 14:03:00+00:00,114084.39956620493,114348.0,4,4,0.00508489125551026,1.108068758547347,0.0019097298196273378,1.7666666666666666
2025-09-11 12:17:00+00:00,2025-09-11 14:31:00+00:00,114084.39956620493,114266.93460551086,4,4,0.5471310659598707,74.8829688547412,0.0011994401119777307,2.2333333333333334
2025-09-11 12:32:00+00:00,2025-09-11 14:31:00+00:00,114084.39956620493,114266.93460551086,4,4,0.39241308758930704,53.70752794778673,0.0011994401119776977,1.9833333333333334
2025-09-11 12:14:00+00:00,2025-09-11 14:34:00+00:00,114266.93460551086,114449.76170087968,3,3,0.16141731968631734,22.12769248340919,0.0011994401119774618,2.3333333333333335
2025-09-11 12:32:00+00:00,2025-09-11 16:02:00+00:00,114084.39956620493,114266.93460551086,4,4,0.5416671669310671,74.13515355734125,0.0011994401119774887,3.5
2025-09-11 14:15:00+00:00,2025-09-11 16:02:00+00:00,114084.39956620493,114266.93460551086,4,4,0.1082646373971421,14.81761496407671,0.0011994401119774616,1.7833333333333334
2025-09-11 12:14:00+00:00,2025-09-11 16:21:00+00:00,114266.93460551086,114449.76170087968,3,3,0.22565383565913744,30.93347537223235,0.0011994401119777755,4.116666666666666
2025-09-11 12:14:00+00:00,2025-09-11 16:21:00+00:00,114266.93460551086,114449.76170087968,3,3,0.2274771701823618,31.183424917318916,0.0011994401119778675,4.116666666666666
2025-09-11 14:06:00+00:00,2025-09-11 19:51:00+00:00,114266.93460551086,114449.76170087968,3,3,0.549291215081737,75.29890296027588,0.0011994401119775591,5.75
2025-09-11 14:06:00+00:00,2025-09-11 19:51:00+00:00,114266.93460551086,114449.76170087968,3,3,0.004957559032626291,0.6796008133198939,0.0011994401119822396,5.75
2025-09-11 15:46:00+00:00,2025-09-11 21:05:00+00:00,114266.93460551086,114449.76170087968,3,3,0.5510490892598304,75.53987895538012,0.0011994401119776663,5.316666666666666
2025-09-11 15:46:00+00:00,2025-09-11 21:05:00+00:00,114266.93460551086,114449.76170087968,3,3,0.0025311439015754944,0.34697871327199437,0.0011994401119614553,5.316666666666666
2025-09-15 09:00:00+00:00,2025-09-15 09:01:00+00:00,114632.88131960109,114816.29392971245,1,1,0.5461755975536371,75.11158384644659,0.0011994401119775715,0.016666666666666666
2025-09-15 09:00:00+00:00,2025-09-15 09:01:00+00:00,114632.88131960109,114816.29392971245,1,1,0.0011986276764280879,0.16483860432933284,0.0011994401119879907,0.016666666666666666
2025-09-11 14:02:00+00:00,2025-09-15 13:02:00+00:00,114449.76170087968,114647.7,2,2,0.5486402260266252,83.45849653476034,0.0013288659307113043,95.0
2025-09-11 14:02:00+00:00,2025-09-15 13:46:00+00:00,114449.76170087968,114632.88131960109,2,2,0.5508131382504426,75.62834595891036,0.0011994401119761876,95.73333333333333
